[09-Dec-2021 17:43:09 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 1484
[09-Dec-2021 17:43:09 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
[09-Dec-2021 17:45:04 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:45:04 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:45:05 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Tree/Selector.php on line 103
[09-Dec-2021 17:45:05 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
[09-Dec-2021 17:45:05 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 12288 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/really-simple-ssl/class-mixed-content-fixer.php on line 169
[09-Dec-2021 17:46:17 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:46:17 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:46:17 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 1719
[09-Dec-2021 17:46:17 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
[09-Dec-2021 17:46:17 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 12288 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/really-simple-ssl/class-mixed-content-fixer.php on line 169
[09-Dec-2021 17:46:44 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:46:44 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:46:45 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 955
[09-Dec-2021 17:46:45 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-includes/class-wp-fatal-error-handler.php on line 72
[09-Dec-2021 17:46:51 UTC] PHP Deprecated:  Function create_function() is deprecated in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/inc/init.php on line 21
[09-Dec-2021 17:46:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/organ142/public_html/smilesbysimon.com/wp-content/plugins/unyson/framework/extensions/backup/includes/lib/srdb.class.php on line 854
[09-Dec-2021 17:46:52 UTC] PHP Fatal error:  Allowed memory size of 41943040 bytes exhausted (tried to allocate 20480 bytes) in /home/organ142/public_html/smilesbysimon.com/wp-content/themes/dentist/WP-Less-Compilator/lib/Less/Parser.php on line 1174
